"word","estimate"
"dont_to",0.01089448
"dont_and",0.00936455
"please_the",0.02576039
"please_to",0.01499683
"please_and",0.01289081
"left_and",0.01351413
"left_a",0.01338065
"left_i",0.00873691
"person_the",0.024653
"person_a",0.01221481
"person_of",0.01007239
"haha_to",0.02063813
"haha_a",0.01756468
"haha_of",0.01448392
"start_in",0.01131293
"start_i",0.01119887
"start_is",0.00811223
"friday_the",0.03063729
"friday_to",0.017836
"friday_a",0.01517984
"guy_the",0.03242862
"guy_a",0.01606739
"guy_of",0.01324925
"office_i",0.01072529
"office_you",0.00706599
"office_it",0.00639012
"white_the",0.02949768
"white_to",0.01717256
"white_and",0.01476099
"coming_the",0.02096382
"coming_a",0.01038693
"coming_i",0.00678216
"check_to",0.01324684
"check_and",0.01138657
"check_a",0.01127411
"times_of",0.01345795
"times_is",0.00771933
"times_that",0.00754297
"four_the",0.03182651
"four_a",0.01576906
"four_i",0.01029643
"maybe_the",0.02822876
"maybe_to",0.01643384
"maybe_and",0.01412601
"music_a",0.01602338
"music_in",0.01056904
"music_that",0.00740565
"full_the",0.02177686
"full_to",0.01267776
"full_and",0.0108974
"read_to",0.01849679
"read_of",0.01298112
"read_i",0.0102789
"d_to",0.01900213
"d_and",0.01633363
"d_a",0.01617231
"forward_the",0.01634116
"forward_of",0.00667645
"forward_i",0.00528665
"must_the",0.021816
"must_to",0.01270054
"must_and",0.01091699
"hours_the",0.03630775
"hours_i",0.01174618
"hours_is",0.00850869
"p.m_to",-0.00430855
"p.m_a",-0.00366692
"p.m_of",-0.00302376
"ready_the",0.01355665
"ready_a",0.00671691
"ready_of",0.0055388
"i'll_the",0.02628887
"i'll_to",0.0153045
"i'll_and",0.01315527
"five_to",0.01720677
"five_a",0.01464432
"five_of",0.01207578
"called_and",0.01729663
"called_of",0.01412201
"called_in",0.01129619
"support_to",0.01810569
"support_in",0.01016404
"support_i",0.01006156
"run_of",0.0125359
"run_i",0.00992636
"run_is",0.00719045
"name_the",0.02774968
"name_and",0.01388627
"name_in",0.00906893
"hit_to",0.01263573
"hit_of",0.00886781
"hit_in",0.00709335
"together_of",0.01155743
"together_is",0.00662921
"together_that",0.00647776
"real_the",0.02804526
"real_to",0.016327
"real_and",0.01403418
"st_the",0.01974705
"st_to",0.01149607
"st_and",0.00988166
"students_a",0.01748848
"students_of",0.01442109
"students_i",0.01141912
"believe_to",0.01424545
"believe_and",0.01224494
"believe_of",0.00999751
"stop_to",0.01653885
"stop_and",0.01421627
"stop_a",0.01407586
"anyone_the",0.02695779
"anyone_a",0.01335676
"anyone_of",0.01101405
"came_the",0.01515777
"came_and",0.00758513
"came_a",0.00751021
"between_to",0.01443134
"between_a",0.01228221
"between_of",0.01012797
"comes_and",0.01201006
"comes_of",0.00980574
"comes_i",0.00776453
"anything_to",0.01659165
"anything_and",0.01426166
"anything_a",0.0141208
"watching_to",0.01520853
"watching_and",0.01307277
"watching_of",0.01067341
"children_a",0.01517943
"children_i",0.00991142
"children_that",0.0070156
"goes_the",0.0259021
"goes_and",0.01296172
"goes_of",0.01058273
"morning_a",0.01679318
"morning_of",0.01384774
"morning_in",0.0110768
"group_the",0.02902098
"group_in",0.00948441
"group_i",0.00938879
"hear_to",0.01648547
"hear_and",0.01417039
"hear_in",0.00925449
"least_the",0.02986191
"least_to",0.0173846
"least_and",0.01494326
"several_the",0.03334186
"several_and",0.01668466
"several_a",0.01651987
"later_the",0.03196408
"later_to",0.01860841
"later_a",0.01583723
"police_the",0.02791306
"police_a",0.01383007
"police_of",0.01140435
"there's_to",0.00932105
"there's_and",0.00801208
"there's_of",0.00654155
"running_the",0.02710599
"running_and",0.01356416
"running_of",0.0110746
"park_of",0.01381199
"park_in",0.0110482
"park_that",0.0077414
"we're_the",0.02562079
"we're_to",0.01491556
"we're_and",0.01282095
"fact_to",0.01010708
"fact_and",0.00868773
"fact_a",0.00860192
"mind_to",0.02031316
"mind_and",0.01746056
"mind_a",0.0172881
"health_and",0.01506677
"health_a",0.01491796
"health_in",0.0098399
"party_to",0.01827115
"party_i",0.01015351
"party_is",0.00735499
"against_to",0.01398971
"against_and",0.01202512
"against_of",0.00981804
"everything_to",0.01888526
"everything_a",0.01607285
"everything_of",0.01325375
"kind_the",0.00761585
"kind_to",0.00443369
"kind_and",0.00381106
"center_to",0.0177017
"center_and",0.01521582
"center_a",0.01506554
"kids_the",0.02741409
"kids_a",0.01358284
"kids_of",0.01120048
"local_the",0.03337594
"local_to",0.01943035
"local_a",0.01653676
"president_the",0.03214189
"president_to",0.01871192
"president_a",0.01592532
"top_the",0.02908002
"top_to",0.01692941
"top_a",0.01440826
"yes_the",0.03119427
"yes_and",0.01560998
"yes_a",0.01545581
"idea_the",0.02274638
"idea_a",0.01127014
"idea_is",0.00533059
"far_the",0.02753407
"far_to",0.01602941
"far_and",0.01377838
"hard_the",0.02079007
"hard_a",0.01030084
"hard_of",0.00849413
"actually_the",0.0335439
"actually_to",0.01952813
"actually_and",0.01678577
"doesn't_the",0.02550773
"doesn't_to",0.01484974
"doesn't_and",0.01276437
"officials_the",0.02427745
"officials_and",0.01214873
"officials_a",0.01202873
"half_to",0.01890199
"half_i",0.01050408
"half_is",0.00760894
"late_a",0.01726547
"late_of",0.01423719
"late_in",0.01138832
"awesome_to",0.02118937
"awesome_a",0.01803382
"awesome_of",0.01487078
"become_to",0.01138573
"become_and",0.00978682
"become_of",0.00799055
"able_the",0.00114698
"able_and",0.00057396
"able_a",0.00056829
"second_the",0.02963284
"second_to",0.01725124
"second_a",0.01468217
"what's_to",0.01228608
"what's_and",0.01056073
"what's_of",0.00862242
"public_the",0.03029736
"public_to",0.0176381
