"word","count","disc_count","fw_count","estimate","leftover_prob","beta"
"royal_artillery",1,0.3,9,0.033333333,0.7,0.7
"artillery_barracks",1,0.3,1,0.3,0.7,0.7
"barracks_sergy",1,0.3,1,0.3,0.7,0.7
"sergy_rikhter",1,0.3,1,0.3,0.7,0.7
"rikhter_of",1,0.3,1,0.3,0.7,0.999849029548387
"of_israel",1,0.3,1984,0.00015121,0.7,0.9
"israel_won",1,0.3,3,0.1,0.7,0.668181822454545
"the_silver",1,0.3,4856,0.0000617792,0.7,0.85
"silver_medal",1,0.3,2,0.15,0.7,0.7
"medal_and",1,0.3,1,0.3,0.7,0.999876720477366
"and_illia",1,0.3,2430,0.000123457,0.7,0.7
"illia_charheika",1,0.3,1,0.3,0.7,0.7
"charheika_of",1,0.3,1,0.3,0.7,0.999849029548387
"of_belarus",1,0.3,1984,0.00015121,0.7,0.7
"belarus_earned",1,0.3,1,0.3,0.7,0.957142858
"earned_the",1,0.3,7,0.042857143,0.7,0.999938154005601
"the_bronze",1,0.3,4856,0.0000617792,0.7,0.85
"bronze_zhu",1,0.3,2,0.15,0.7,0.7
"zhu_qinan",1,0.3,1,0.3,0.7,0.7
"qinan_of",1,0.3,1,0.3,0.7,0.999849029548387
"of_china",1,0.3,1984,0.00015121,0.7,0.9625
"china_the",1,0.3,8,0.0375,0.7,0.999938154005601
"the_olympic",1,0.3,4856,0.0000617792,0.7,0.85
"olympic_champion",1,0.3,2,0.15,0.7,0.95
"champion_finished",1,0.3,6,0.05,0.7,0.984210530947368
"finished_eighth",1,0.3,19,0.015789474,0.7,0.95
"eighth_and",1,0.3,6,0.05,0.7,0.999876720477366
"and_last",1,0.3,2430,0.000123457,0.7,0.997931054793103
"last_there",1,0.3,145,0.002068966,0.7,0.840088111647577
"no_service",1,0.3,201,0.001492537,0.7,0.982352943411765
"service_charge",1,0.3,17,0.017647059,0.7,0.966666664222222
"charge_at",1,0.3,9,0.033333333,0.7,0.753244591086522
"office_the",1,0.3,36,0.008333333,0.7,0.989435683205601
"of_sales",1,0.3,1984,0.00015121,0.7,0.98125
"sales_for",1,0.3,16,0.01875,0.7,0.996703195897436
"these_shows",1,0.3,76,0.003947368,0.7,0.899999995956522
"parking_is",1,0.3,9,0.033333333,0.7,0.999736263094903
"is_included",1,0.3,1138,0.00026362,0.7,0.97
"included_with",1,0.3,10,0.03,0.7,0.999591754666667
"with_ticket",1,0.3,735,0.000408163,0.7,0.94
"ticket_prices",1,0.3,5,0.06,0.7,0.9625
"prices_the",1,0.3,8,0.0375,0.7,0.999938154005601
"the_injured",1,0.3,4856,0.0000617792,0.7,0.7
"injured_officer",1,0.3,1,0.3,0.7,0.966666664
"officer_was",1,0.3,9,0.033333333,0.7,0.98855790323511
"to_euclid",1,0.3,2827,0.00010612,0.7,0.9
"euclid_hospital",1,0.3,3,0.1,0.7,0.975
"hospital_where",1,0.3,12,0.025,0.7,0.996969695606061
"where_was",1,0.3,99,0.003030303,0.7,0.99952969023511
"was_treated",1,0.3,638,0.000470219,0.7,0.925
"treated_and",1,0.3,4,0.075,0.7,0.999876720477366
"and_released",1,0.3,2430,0.000123457,0.7,0.978571424
"released_work",1,0.3,14,0.021428571,0.7,0.986868683454545
"pay_is",1,0.3,26,0.011538462,0.7,0.917135208094903
"month_plus",1,0.3,38,0.007894737,0.7,0.975
"plus_weekly",1,0.3,12,0.025,0.7,0.925
"weekly_bonuses",1,0.3,4,0.075,0.7,0.9
"bonuses_2hrs",1,0.3,3,0.1,0.7,0.85
"2hrs_a",1,0.3,2,0.15,0.7,0.995594046441397
"day_sending",1,0.3,192,0.0015625,0.7,0.9
"sending_people",1,0.3,3,0.1,0.7,0.981142874
"website_do",1,0.3,15,0.02,0.7,0.869958858312757
"want_details",1,0.3,115,0.002608696,0.7,0.972727270727273
"details_i",1,0.3,11,0.027272727,0.7,0.993443626441757
"saw_that",1,0.3,44,0.006818182,0.7,0.995233751496403
"the_article",1,0.3,4856,0.0000617792,0.7,0.95
"article_i",1,0.3,6,0.05,0.7,0.994716701441757
"haven't_gone",1,0.3,20,0.015,0.7,0.668421056421053
"the_tumblr",1,0.3,4856,0.0000617792,0.7,0.85
"tumblr_though",1,0.3,2,0.15,0.7,0.993023250325581
"though_it's",1,0.3,43,0.006976744,0.7,0.998378400189189
"it's_sad",1,0.3,185,0.001621622,0.7,0.982352943411765
"sad_there",1,0.3,17,0.017647059,0.7,0.840088111647577
